month_yyyy_mm,total_rate_100k,total_doses,pos_monthly,rate_100k_Acute,rate_100k_Ambulance,rate_100k_Clinical_Commissioning_Group,rate_100k_Commissioning_Support_Unit,rate_100k_Community_Provider_Trust,rate_100k_Mental_Health,rate_100k_Others,rate_100k_Integrated_Care_Board
2023-06,4513.53827277201,NA,5.77933333333333,3155.056902251447,234.23556359079026,0,12.318802919467672,212.53361538052374,783.3128117805151,72.44640741550293,43.63416943376263
2023-07,4762.395942025131,NA,5.59032258064516,3324.0510459267484,242.58669720978406,0,14.266416172343735,223.11073096852414,836.1825673882505,75.59660485584956,46.60187950363048
2023-08,4881.329190278322,NA,12.0009677419355,3404.3175692189807,247.42908914728218,0,14.649255944647901,229.20536210034288,859.8903996970669,77.02561833226292,48.8118958377386
2023-09,4977.962521812083,NA,15.631,3493.4292523493086,239.99405410304666,0,13.71634241930352,235.83646168380506,864.6391294756936,79.63760817897956,50.70967360194626
2023-10,5319.971868204474,NA,14.6258064516129,3728.1025565944237,247.69005875861626,0,14.366575479894076,261.16521677450584,926.599483816136,84.4936205395688,57.55435624132986
2023-11,5297.198658181561,NA,8.286,3708.8390461629956,249.15566461982726,0,15.29332705915204,257.5719168433518,930.3625647779747,76.84510719164584,59.13103152661286
2023-12,5512.077082323627,NA,11.0612903225806,3869.356963035446,287.6876666213202,0,15.15744627916293,262.5970244162915,941.1531182465696,76.64037244122473,59.48449128361287
2024-01,5484.844874501461,NA,11.3541935483871,3857.090519674944,275.4499576405947,0,15.19948865101147,262.20709390943375,943.0345279825551,71.82240368306533,60.04088295985693
2024-02,5104.3813516411055,NA,6.86241379310345,3592.5652440624367,252.87413140918895,0,15.310239729208257,244.27721468082143,873.7973401147738,67.69557407185242,57.86160757282325
2024-03,4744.050100064982,NA,4.55903225806452,3330.613856850139,244.04899743858695,0,14.393228308998587,225.48296100533315,812.5371332795604,65.90245668813887,51.07146649422397
2024-04,4764.003145668735,NA,5.738,3345.4448323150095,234.83645898200513,0,13.56818818209182,226.1675410484563,827.6191682248907,67.23807544398791,49.12888147229376
2024-05,4712.303532870583,NA,9.4022580645161309,3300.347032306818,230.89478962992519,0,14.23944640414705,218.7419277399527,831.0103831702925,68.64599298349462,48.42396063595196
2024-06,4873.679526383331,NA,12.1336666666667,3413.7903120513165,233.13569984490206,0,14.76328161169694,231.38283562747986,857.4560122780623,71.77774438670868,51.37364058316476
2024-07,5198.479492975567,NA,15.4538709677419,3638.391489323727,251.49095298313526,0,15.014829422245095,247.5642546780245,913.3809721991872,76.51349347661274,56.123500892635455
2024-08,4793.195115501238,NA,10.9183870967742,3350.9324679948854,240.84102237158746,0,13.511923178045725,221.01240618140017,844.5181341416475,71.55940499503407,50.81975663863876
2024-09,4961.540278800629,NA,11.633,3467.762081743609,245.5995295287759,0,13.912341910038888,233.07058694876102,874.4418897916313,72.30112351256362,54.45272536524931
2024-10,5412.359940732836,NA,12.82,3794.6462645544293,255.8130013663638,0,14.174706353787029,240.5639648798524,966.7353823796738,79.21698687381017,61.209634324919904
2024-11,5429.915540926257,NA,5.70566666666667,3785.8060883375706,270.17909093065464,0,15.119549108266233,241.83229649258564,978.2332355951604,76.88217609714323,61.86310436487729
2024-12,5744.944422092697,NA,3.16838709677419,4013.69688042066,310.22101530620967,0,14.677527840064093,250.94541439582082,1015.4320131307613,77.78556169066847,62.18600930851302
